Module1	Module2	Module3	Module4	Module5	Module6
303						Vwc2
304						Mapre3
305						Nipal3
306						Lrrc24
307						Scg5
308						Ublcp1
309						Ptchd4
310						Wbp2
311						Disp2
312						Ckmt1
313						1810037I17Rik
314						Gm9866
315						Phyhip
316						Zbtb7a
317						Efhd2
318						Trnp1
319						Dynlt3
320						Tceal6
321						Mgat4c
322						Ehd3
323						Hpgd
324						Cplx2
325						Ypel5
326						Mypop
327						Map7d2
328						Gde1
329						Per3
330						Habp4
331						Crtac1
332						Dnm3
333						Tceal5
334						Kcnc4
335						Spock3
336						6430548M08Rik
337						BC089491
338						Ralyl
339						Fam19a1
340						Clu
341						Actr3b
342						Slc2a13
343						Armcx1
344						Ypel3
345						Zcchc18
346						Coro6
347						Gas6
348						Hapln4
349						Cacng3
350						Spock2
351						Ypel4
352						Lin7b
353						Sgpp2
354						Ece2
355						Wasl
356						Tmem163
357						Slc25a33
358						Stxbp5l
359						Ctsb
360						Nipal2
361						Bcl7b
362						Kcnj5
363						Pde4a
364						Capns1
365						Ddit3
366						Pfkl
367						Lpl
368						Gm10250
369						Gabra2
370						Gmpr
371						Snrpn
372						Sh3bp1
373						Tmem47
374						Ppp2r2c
375						Sqstm1
376						Lypd6
377						Tanc1
378						Fxyd7
379						Lhfpl5
380						Abat
381						Ric3
382						Diras1
383						Cisd3
384						Gadd45g
385						Extl2
386						Higd1a
387						Ppp1r7
388						Cntn4
389						Mat2b
390						Gm13889
391						Ptpn4
392						Fam173a
393						Hibadh
394						Tmem14a
395						Sv2c
396						Hagh
397						Aplp2
398						Fam126b
399						Wasf3
400						Galnt13
401						Ptprn
402						Mt2
403						Tceal3
404						Caly
405						Usp2
406						Rpp25
407						Setd7
408						Dynll2
409						Pgam1
410						Gabrb1
411						Pgk1
412						Slc2a3
413						Vstm2a
414						Cox17
415						Eif4a2
416						Fbxo44
417						Prnp
418						Atp6v1b2
419						Iqsec1
420						Kcnk1
421						Emc7
422						Ptgfrn
423						Arhgef9
424						Atp6v0e2
425						Tango2
426						Syndig1l
427						Slc4a3
428						Haghl
429						Uchl5
430						Ank1
431						Arap2
432						Tgoln1
433						Atp6ap2
434						Rgs7
435						BC029722
436						Chga
437						Lrpap1
438						Mbnl1
439						Fgf9
440						Eno1
441						D10Jhu81e
442						Chn1
443						Ogfrl1
444						Pex5l
445						Sh3glb2
446						Csmd3
447						Cds1
448						Phyhipl
449						Atp2a2
450						Prdx5
451						Idh3a
452						2210016L21Rik
453						Tom1l2
454						Calm1
455						Snph
456						Syp
457						Clstn1
458						Rcan2
459						Anxa7
460						Aifm3
461						Kcnc3
462						Rab7
463						Ldhb
464						Tac1
465						Comt
466						Cox4i2
467						Stbd1
468						Rimkla
469						Aatk
470						Fabp3
471						Ppp1r11
472						Emc9
473						Pcdh8
474						Asns
475						Arpc5l
476						Resp18
477						Pfkm
478						Arrb1
479						Hspb8
480						Acsl6
481						Naa20
482						Gabrg2
483						Kcnip1
484						Magi1
485						Cabp1
486						Ywhah
487						Mpc1
488						Timm17a
489						Bcat1
490						Vstm2b
491						Pde10a
